央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=6d25f62e0516301f4ec98bdadbf08e1a8e21422db2c2c233373e9fc6adf845b9ef594597f97c2cd3791ba69fe38d502b18c1261b425750e2e95d541606d9c5000c7621df6a3dd4d1db522dc22b7643f0&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=227bff581522f115fa642c4afd4ecacdc8c5288d0e9b2fb078594b964c39caf22e4820f95f50b7b1514cc983bdb531c01635f3282dd8d05c96a350e9df2d323811a7a81294336592d93c1321&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=d7b95de4558c3b1e6190c8cb91e4c372391d1f17f5c67f4d4dfe87b99f4f7b2fd1fe2cddfdac5aad33b596a6ea060907727df637208a3a81f9f09a5dc0dd9d5ecf7f888744e806ff34fe35932221b380&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=e71f631d64882273dd247954e4919883643c196375379596ba8cc9d01e9deb1c35d9e7db890de85015fb6f8dd15490f08a981ed56ff6c373af6a8d0fe59b69ebe386bf1343dfc4d615cce0dc&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=bc6915221481fbbbfba8c72623f5afb244aa770b7a4b1ddbce34ccb21eed62995790fb1cfb26a12d2c438719ecec4d612112d95a62c60bb3a74d68bedd64633dfff9d9e832c4b04b8cc4200c8baa3f46&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=ff8799c234fd2a285e23cfe8bd358a70e082b448da28c57c0aa11e5f71870ea0c1f0bde9c7b5fe88d2591df06df584df7e939fe3588c1db72ffb0bd52265015e55a2fd4b2a5c6dc71d172f34&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=48dcd293dd04679b56f172b12127fd8ae8ea0883a4c321338eebd5a40b182d7218e5ee63ae986f5753b927e014c770b0ff7340480c05402e1031618b06dd13b083bd78307b449cf10c4381e252eecfe4&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=423579792&sign=71d6312a4a515ca0eedb4de22f0227c7091eca7433d8c53869334376cb5bb72bdf977c3876ae3b2bbe62f2745c8a66823c320b867156bdbc78d04765bf67d7b93c53b36d8beb878a8b1bae06&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?userid=423579792&sign=9d923d5109e36c107f8ad7466e8aca9430cd875fdc6a079389e3a7c26c622af67743c03f34cec3784fa0f87695d8dad4181ad7e62b556c2af21956c04317c26880a77210f6b6fe9e3e3d67f7426b877f&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?userid=423579792&sign=9ebc4c8672afdef983ab687aa8856cb4cc88205e718e185bef9059d8881d232a45e2368289883908432b17afb577422c2cca5624a1652a2418ef2fb24b5a55063f928261a3ec71a4d9851d0af267d50f&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://mgtv.ottiptv.cc/mg/641886683.m3u8?userid=423579792&sign=af16f4b34ab205f43c99585c81d1dbcabac6e23ee624da10e45544b3401d5d09d2e81378cf946f0f9df11161b7269b1aecabcb991788a50eb483666c63aa8fbe3a23efd20404a481953f4f55ba17e921&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://live.ottiptv.cc/mcp/cctv5.m3u8?userid=423579792&sign=ba23b7ed4b035a6ece5e86b7bbbf0b04d684da3c06ab5fedc881e1be77d2f487e4dac9d2b1c676d3824f678f2f42712d544b369c9f7e8a669c35bc9b15f0511d64d1cd4c22b0a2053987c28c&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?
